,player_id,mode,frame_number,signal_type,num_code,key
221,61096ca0999b16524e70304f,1,2184,up,1,1
222,61096ca0999b16524e70304f,1,2795,down,5,5
223,61096ca0999b16524e70304f,1,2795,down,14,14
224,61096ca0999b16524e70304f,1,2795,down,18,18
225,61096ca0999b16524e70304f,1,3126,up,1,1
226,6109746d0c492f63aca8cddd,1,1046,down,18,18
227,6109746d0c492f63aca8cddd,1,1878,up,1,1
228,6109746d0c492f63aca8cddd,2,837,up,1,1
229,6109746d0c492f63aca8cddd,2,2233,up,2,2
230,6109746d0c492f63aca8cddd,2,2233,up,1,1
231,6109746d0c492f63aca8cddd,2,2565,up,1,1
232,6109746d0c492f63aca8cddd,2,2565,up,8,8
233,6109746d0c492f63aca8cddd,2,2565,up,9,9
234,610999778e6142549b918cce,1,1590,down,2,2
235,610999778e6142549b918cce,1,1590,down,5,5
236,610999778e6142549b918cce,1,1590,down,14,14
237,610999778e6142549b918cce,1,1590,down,18,18
238,610999778e6142549b918cce,2,319,up,1,1
239,610999778e6142549b918cce,2,852,up,1,1
240,610999778e6142549b918cce,2,1585,up,1,1
241,610999778e6142549b918cce,2,2925,up,1,1
242,610999778e6142549b918cce,2,3481,up,1,1
243,610999778e6142549b918cce,2,3481,up,7,7
244,610999778e6142549b918cce,2,3481,up,9,9
245,6109bd0d694d2a4ea75bacf1,1,891,up,1,1
246,6109bd0d694d2a4ea75bacf1,1,1790,up,999,999
247,6109bd0d694d2a4ea75bacf1,2,2325,up,999,999
248,6109bd72fa4cdd8f9585cc43,1,761,up,1,1
249,6109bd72fa4cdd8f9585cc43,1,1148,up,999,999
250,6109bd72fa4cdd8f9585cc43,1,1422,up,1,1
251,6109bd72fa4cdd8f9585cc43,1,2074,up,999,999
252,6109bd72fa4cdd8f9585cc43,2,424,up,1,1
253,6109bd72fa4cdd8f9585cc43,2,972,up,1,1
254,6109bd72fa4cdd8f9585cc43,2,2301,down,4,4
255,6109bd72fa4cdd8f9585cc43,2,2301,down,5,5
256,6109bd72fa4cdd8f9585cc43,2,2301,down,12,12
257,6109c3a7a0e6d2a434e2fd60,1,703,up,1,1
258,6109c3a7a0e6d2a434e2fd60,1,1075,down,999,999
259,6109c3a7a0e6d2a434e2fd60,1,1470,up,1,1
260,6109c3a7a0e6d2a434e2fd60,1,1993,down,5,5
261,6109c3a7a0e6d2a434e2fd60,1,2456,down,15,15
262,6109c3a7a0e6d2a434e2fd60,1,2456,down,5,5
263,6109c3a7a0e6d2a434e2fd60,1,2746,down,4,4
264,6109c3a7a0e6d2a434e2fd60,1,2746,down,15,15
265,6109c3a7a0e6d2a434e2fd60,1,2746,down,12,12
266,6109c3a7a0e6d2a434e2fd60,2,166,up,1,1
267,6109c3a7a0e6d2a434e2fd60,2,448,up,1,1
268,6109c3a7a0e6d2a434e2fd60,2,892,up,1,1
269,6109c3a7a0e6d2a434e2fd60,2,1105,down,999,999
270,6109c3a7a0e6d2a434e2fd60,2,1499,up,1,1
271,6109c3a7a0e6d2a434e2fd60,2,2045,up,1,1
272,6109c3a7a0e6d2a434e2fd60,2,2388,up,1,1
273,6109c3a7a0e6d2a434e2fd60,2,2388,up,7,7
274,6109c3a7a0e6d2a434e2fd60,2,2629,up,2,2
275,6109c3a7a0e6d2a434e2fd60,2,2889,up,8,8
276,6109c3a7a0e6d2a434e2fd60,2,2889,up,9,9
277,610a58b6c0de3eaaf1c566a2,1,46,up,999,999
278,610a58b6c0de3eaaf1c566a2,1,308,up,999,999
279,610a58b6c0de3eaaf1c566a2,1,574,up,1,1
280,610a58b6c0de3eaaf1c566a2,1,1175,down,4,4
281,610a58b6c0de3eaaf1c566a2,1,1175,down,15,15
282,610a58b6c0de3eaaf1c566a2,1,1175,down,5,5
283,610a58b6c0de3eaaf1c566a2,1,1341,up,999,999
284,610a58b6c0de3eaaf1c566a2,1,1876,down,4,4
285,610a58b6c0de3eaaf1c566a2,1,1876,down,5,5
286,610a58b6c0de3eaaf1c566a2,1,1876,down,12,12
287,610a58b6c0de3eaaf1c566a2,2,146,up,1,1
288,610a58b6c0de3eaaf1c566a2,2,346,down,4,4
289,610a58b6c0de3eaaf1c566a2,2,346,down,15,15
290,610a58b6c0de3eaaf1c566a2,2,346,down,5,5
291,610a58b6c0de3eaaf1c566a2,2,581,down,4,4
292,610a58b6c0de3eaaf1c566a2,2,581,down,15,15
293,610a58b6c0de3eaaf1c566a2,2,684,up,999,999
294,610a58b6c0de3eaaf1c566a2,2,981,up,1,1
295,610ad8111e76c155f89fa26d,1,556,up,1,1
296,610ad8111e76c155f89fa26d,1,1281,up,1,1
297,610ad8111e76c155f89fa26d,2,597,up,1,1
298,610ae121a29b11dc55916f3e,1,434,up,1,1
299,610ae121a29b11dc55916f3e,1,877,up,2,2
300,610ae121a29b11dc55916f3e,1,877,up,1,1
301,610ae121a29b11dc55916f3e,1,1499,up,1,1
302,610ae121a29b11dc55916f3e,1,2033,up,2,2
303,610ae121a29b11dc55916f3e,1,2136,down,14,14
304,610ae121a29b11dc55916f3e,1,2136,down,18,18
305,610ae121a29b11dc55916f3e,2,331,up,1,1
306,610ae121a29b11dc55916f3e,2,524,up,1,1
307,610ae121a29b11dc55916f3e,2,927,up,1,1
308,610ae121a29b11dc55916f3e,2,1373,up,1,1
309,610ae121a29b11dc55916f3e,2,1493,up,1,1
310,610ae121a29b11dc55916f3e,2,2066,up,1,1
311,610ae121a29b11dc55916f3e,2,2066,up,7,7
312,610ae121a29b11dc55916f3e,2,2429,up,2,2
313,610ae121a29b11dc55916f3e,2,2429,up,1,1
314,610ae121a29b11dc55916f3e,2,2943,up,1,1
315,610ae121a29b11dc55916f3e,2,3071,up,1,1
316,610ae121a29b11dc55916f3e,2,3071,up,8,8
317,610ae121a29b11dc55916f3e,2,3071,up,9,9
318,610ae91ba2b28abc2bfdb685,1,661,up,1,1
319,610ae91ba2b28abc2bfdb685,1,1169,up,1,1
320,610ae91ba2b28abc2bfdb685,1,1959,up,8,8
321,610ae91ba2b28abc2bfdb685,1,2180,up,1,1
322,610ae91ba2b28abc2bfdb685,1,2180,up,8,8
323,610ae91ba2b28abc2bfdb685,1,2671,down,4,4
324,610ae91ba2b28abc2bfdb685,1,2671,down,5,5
325,610ae91ba2b28abc2bfdb685,1,2671,down,12,12
326,610aebd03f7daffc2fcce4b9,2,434,up,1,1
327,610aebd03f7daffc2fcce4b9,2,536,up,1,1
328,610aebd03f7daffc2fcce4b9,2,1204,up,999,999
329,610aebd03f7daffc2fcce4b9,2,1952,up,2,2
330,610aebd03f7daffc2fcce4b9,2,1952,up,7,7
331,610aebd03f7daffc2fcce4b9,2,2186,up,2,2
332,610aebd03f7daffc2fcce4b9,2,2186,up,1,1
