AU09_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU09_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU09_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU09_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,type
0.84,1.59,0.0,1.61,1.32,1.69,0.0,0.73,0.0,0.52,0.71,0.6,0.473913043478261,1.1386956521739133,0.0,1.057826086956522,0.982608695652174,1.0330434782608697,0.20731484905890413,0.20287265033257793,0.0,0.3276633044860522,0.1762286064721912,0.260548979562362,signal
0.58,1.29,0.0,1.53,1.25,1.57,0.08,0.77,0.0,0.85,0.78,0.99,0.2756521739130435,1.0339130434782609,0.0,1.2847826086956522,1.0286956521739132,1.3039130434782609,0.1375706789239798,0.15540969697236873,0.0,0.15453359638301054,0.13153998174858844,0.13647307861175684,signal
0.07,0.0,0.83,0.45,0.54,0.09,0.0,0.0,0.08,0.0,0.0,0.0,0.008636363636363636,0.0,0.4281818181818183,0.12318181818181818,0.1831818181818182,0.007272727272727273,0.0223170774980047,0.0,0.2109533092921244,0.14207262943520133,0.1813543325630627,0.02374102701309199,signal
0.0,0.0,1.06,0.84,1.08,0.19,0.0,0.0,0.49,0.06,0.0,0.0,0.0,0.0,0.8330434782608698,0.5021739130434782,0.4208695652173913,0.02391304347826087,0.0,0.0,0.1591293008447903,0.218859783293055,0.2808900309483518,0.05087767240555639,signal
0.0,0.0,0.85,0.73,1.31,0.03,0.0,0.0,0.35,0.0,0.27,0.0,0.0,0.0,0.5617391304347826,0.2334782608695652,0.8395652173913044,0.0013043478260869564,0.0,0.0,0.11507516017854844,0.2492827656160802,0.25399495809007283,0.006255432421712242,signal
0.0,0.0,1.11,0.16,1.02,0.0,0.0,0.0,0.46,0.0,0.49,0.0,0.0,0.0,0.8,0.020000000000000004,0.7300000000000001,0.0,0.0,0.0,0.15201674548907734,0.04641708149534453,0.13598128213437718,0.0,signal
0.03,0.0,1.54,1.14,1.38,0.17,0.0,0.0,0.54,0.06,0.12,0.0,0.0013043478260869564,0.0,0.9052173913043479,0.5160869565217392,0.4782608695652173,0.03173913043478262,0.006255432421712241,0.0,0.24590962059662547,0.25064896007318826,0.2885489114661505,0.060276044835636554,signal
0.0,0.0,1.85,1.13,1.1,0.37,0.0,0.0,0.7,0.22,0.08,0.0,0.0,0.0,1.0817391304347825,0.6769565217391303,0.47478260869565225,0.07347826086956523,0.0,0.0,0.3592878331304487,0.19571395598978106,0.23788594603329996,0.11072524125683086,signal
0.0,0.0,1.34,1.33,0.81,0.38,0.0,0.0,0.69,0.53,0.0,0.0,0.0,0.0,1.069090909090909,0.8363636363636364,0.405,0.10772727272727271,0.0,0.0,0.1846724021176313,0.2166310327007752,0.24828459093394842,0.13735362141573593,signal
0.0,0.72,0.0,0.0,0.32,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.0,0.0,0.07800000000000001,0.029333333333333333,0.0,0.2275856719902158,0.0,0.0,0.13576239748703825,0.0439913411393435,signal
0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02565217391304348,0.0,0.0,0.002173913043478261,0.0,0.0,0.039637687181006014,0.0,0.0,0.010425720702853736,signal
0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01782608695652174,0.0,0.0,0.0,0.0,0.0,0.0307418166108893,0.0,0.0,0.0,signal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,signal
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030434782608695656,0.0,0.0,0.0,0.0,0.0,0.011051442772406625,0.0,0.0,0.0,signal
0.0,0.35,0.71,0.0,0.75,0.56,0.0,0.0,0.32,0.0,0.2,0.2,0.0,0.05043478260869565,0.536086956521739,0.0,0.532608695652174,0.3917391304347826,0.0,0.0935889591812646,0.1104428741861512,0.0,0.14419738338643343,0.10919757630980992,signal
0.0,0.03,0.81,0.28,0.77,0.53,0.0,0.0,0.29,0.0,0.2,0.22,0.0,0.0013043478260869564,0.5213043478260869,0.01608695652173913,0.5008695652173913,0.3843478260869566,0.0,0.006255432421712241,0.12432743966222594,0.05875520328484514,0.1450051109907466,0.0909458423736857,signal
0.0,0.05,0.58,0.04,0.81,0.54,0.0,0.0,0.29,0.0,0.12,0.13,0.0,0.002173913043478261,0.45086956521739135,0.0017391304347826088,0.417391304347826,0.31,0.0,0.010425720702853738,0.07064077135107671,0.00834057656228299,0.16963108075265057,0.11353813936695058,signal
0.0,0.07,0.72,0.11,0.66,0.69,0.0,0.0,0.35,0.0,0.01,0.15,0.0,0.0030434782608695656,0.5278260869565217,0.013043478260869565,0.45086956521739135,0.4230434782608696,0.0,0.014596008983995238,0.09243948987601322,0.03390290717069122,0.1699976749434121,0.13775587044441057,signal
0.0,0.0,0.94,0.04,0.93,0.52,0.0,0.0,0.43,0.0,0.08,0.0,0.0,0.0,0.6217391304347827,0.0017391304347826088,0.45608695652173914,0.29999999999999993,0.0,0.0,0.11072702609706626,0.00834057656228299,0.2185019061792198,0.15427248620541512,signal
0.0,0.0,1.27,0.22,1.07,0.0,0.0,0.0,0.89,0.0,0.57,0.0,0.0,0.0,1.0956521739130434,0.04260869565217391,0.8008695652173913,0.0,0.0,0.0,0.11048760057772511,0.0714281197049522,0.111840513210808,0.0,signal
0.01,0.0,1.42,0.17,1.2,0.0,0.0,0.0,1.12,0.0,0.57,0.0,0.0008695652173913044,0.0,1.2447826086956522,0.007391304347826088,0.8913043478260869,0.0,0.0028810406552003042,0.0,0.08897750304111054,0.03544745038970271,0.1475344134839575,0.0,signal
0.21,0.0,1.31,0.0,1.24,0.0,0.0,0.0,1.03,0.0,0.63,0.0,0.03304347826086956,0.0,1.1873913043478261,0.0,0.9169565217391306,0.0,0.05896337712425597,0.0,0.07886797894435231,0.0,0.15307261445615505,0.0,signal
0.3,0.0,1.9,0.83,1.15,0.28,0.0,0.0,1.0,0.0,0.01,0.0,0.08391304347826088,0.0,1.33,0.22695652173913042,0.47782608695652173,0.05782608695652174,0.09143995200203459,0.0,0.2784861674384303,0.2957184592050765,0.2678696515054075,0.10126277794741982,signal
0.46,0.0,1.43,0.0,1.31,0.0,0.0,0.0,1.09,0.0,0.65,0.0,0.2643478260869565,0.0,1.2478260869565219,0.0,0.8456521739130435,0.0,0.11622181327712507,0.0,0.08146145333497702,0.0,0.18142932726137148,0.0,signal
0.28,0.0,1.31,0.0,1.16,0.0,0.0,0.0,1.02,0.0,0.53,0.0,0.11956521739130435,0.0,1.174782608695652,0.0,0.9130434782608695,0.0,0.08631223766964626,0.0,0.08251003053168698,0.0,0.13808544069816459,0.0,signal
0.29,0.0,1.43,0.08,1.37,0.0,0.0,0.0,1.02,0.0,0.6,0.0,0.0665217391304348,0.0,1.2052173913043478,0.0034782608695652175,1.0334782608695652,0.0,0.08054409834777546,0.0,0.09647748513689566,0.01668115312456598,0.1903014043719301,0.0,signal
0.0,0.04,0.0,0.0,0.64,0.15,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.002608695652173913,0.0,0.0,0.36521739130434777,0.06173913043478261,0.0,0.0091539317456032,0.0,0.0,0.15675312278221537,0.05874847571817916,signal
0.0,0.06,0.09,0.01,0.31,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002608695652173913,0.006956521739130435,0.0004347826086956522,0.17391304347826086,0.0647826086956522,0.0,0.012510864843424481,0.021199224387333276,0.0020851441405707475,0.09689446604118894,0.03058067797830271,signal
0.0,0.14,0.0,0.26,0.34,0.29,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01782608695652174,0.0,0.07347826086956522,0.1517391304347826,0.18434782608695652,0.0,0.03777403169315835,0.0,0.08188732256483872,0.0937914598706302,0.06720566040530987,signal
0.76,1.67,0.0,1.13,1.32,1.25,0.09,0.44,0.0,0.0,0.0,0.53,0.4356521739130436,0.9782608695652174,0.0,0.5469565217391305,0.5143478260869566,0.7465217391304348,0.16239195252554633,0.3630258214446641,0.0,0.3580684899265235,0.4423473140475246,0.16584792310076704,signal
0.62,1.35,0.0,1.02,0.84,1.2,0.12,0.55,0.0,0.0,0.0,0.31,0.3973913043478261,0.911304347826087,0.0,0.43565217391304356,0.34304347826086956,0.7765217391304347,0.12218530603905572,0.18592042158422334,0.0,0.3348110197892716,0.27573760225337907,0.2756250532162748,signal
0.53,1.49,0.0,1.78,1.39,1.57,0.11,0.8,0.0,1.16,0.64,0.99,0.31695652173913047,1.0969565217391304,0.0,1.3956521739130436,0.9569565217391304,1.3943478260869566,0.1166749479462531,0.18523780250872354,0.0,0.14662339162743446,0.1846725549971353,0.14531552150583857,signal
0.56,1.39,0.0,1.63,1.37,1.58,0.1,0.73,0.0,1.0,0.77,1.18,0.37,1.0095652173913043,0.0,1.3404347826086955,1.041304347826087,1.3800000000000001,0.1140175425099138,0.15668376550090152,0.0,0.1649925139037186,0.1450800515021742,0.11176273569893094,signal
0.0,0.0,1.03,0.98,1.52,0.32,0.0,0.0,0.39,0.19,0.06,0.0,0.0,0.0,0.7665217391304348,0.5965217391304347,0.7165217391304348,0.09782608695652174,0.0,0.0,0.20055850870760822,0.21150131518293372,0.3150412483188392,0.09070213597460498,signal
0.14,0.0,1.59,1.12,1.46,0.37,0.0,0.0,0.31,0.0,0.0,0.0,0.006086956521739131,0.0,0.7499999999999999,0.548695652173913,0.31869565217391305,0.08,0.02919201796799047,0.0,0.24648437162332518,0.2798750426988654,0.3160452261627078,0.10090499582190258,signal
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026086956521739132,0.0,0.0,0.0,0.0,0.0,0.008643121965600912,0.0,0.0,0.0,signal
2.66,0.7,0.0,0.84,0.28,1.58,1.54,0.0,0.0,0.45,0.0,0.23,1.8,0.37636363636363634,0.0,0.63,0.012727272727272728,1.3254545454545457,0.2883945709811968,0.194092404467206,0.0,0.09763879010584539,0.05969620057957092,0.27260170269403733,neutral
2.34,0.87,0.0,1.09,0.0,1.48,1.62,0.0,0.0,0.5,0.0,0.92,1.948636363636364,0.0990909090909091,0.0,0.8204545454545454,0.0,1.2104545454545454,0.19878908311851426,0.21729745009590382,0.0,0.14939488334220544,0.0,0.13653805584027,neutral
2.56,0.67,0.0,1.18,0.0,1.56,1.49,0.0,0.0,0.09,0.0,1.01,2.1927272727272733,0.05136363636363637,0.0,0.714090909090909,0.0,1.2677272727272728,0.3024531733639475,0.1540653990555543,0.0,0.20520974382577195,0.0,0.14998196139732517,neutral
2.78,0.42,0.0,0.93,0.0,1.59,1.48,0.0,0.0,0.37,0.0,0.65,2.2318181818181824,0.03727272727272727,0.0,0.6227272727272728,0.0,1.245,0.33458768319966253,0.10443415871492191,0.0,0.15297624522039882,0.0,0.23421093463961476,neutral
2.76,0.22,0.0,0.99,0.67,1.39,1.69,0.0,0.0,0.42,0.0,0.15,2.2827272727272723,0.019545454545454546,0.0,0.709090909090909,0.04772727272727273,1.055909090909091,0.285843477285198,0.051591552716392555,0.0,0.15571368997860544,0.16082915567774808,0.2970114490483504,neutral
2.34,0.33,0.0,0.87,0.0,1.67,1.07,0.0,0.0,0.48,0.0,0.79,1.5626086956521739,0.09347826086956522,0.0,0.6660869565217391,0.0,1.37,0.312587695205163,0.11467775783600101,0.0,0.10378032439352507,0.0,0.196283653744454,neutral
2.24,0.24,0.0,1.05,0.0,1.57,1.48,0.0,0.0,0.53,0.0,0.67,1.8750000000000002,0.04954545454545455,0.0,0.781818181818182,0.0,1.3581818181818184,0.21270928069841735,0.08785687889306772,0.0,0.17089780749342748,0.0,0.2053947735143545,neutral
2.0,0.4,0.0,1.11,0.0,1.85,0.89,0.0,0.0,0.68,0.0,0.76,1.3743478260869566,0.09130434782608696,0.0,0.8791304347826088,0.0,1.5030434782608695,0.280856257103434,0.11821799385519213,0.0,0.10646864854279707,0.0,0.2592021812234383,neutral
